SUBTOPIC,SUBTOPIC_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,SUBGROUP,SUBGROUP_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,1999-2002,2,9.6,1.1
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2003-2006,3,8.6,0.7
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2007-2010,4,10,0.8
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2011-2014,5,10.1,0.7
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2015-2018,6,12,0.9
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,1988-1994,1,6.5,0.8
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,1999-2002,2,9.7,1.3
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2003-2006,3,9,0.9
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2007-2010,4,9.4,0.6
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2011-2014,5,11,0.5
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2015-2018,6,10.7,0.9
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,1988-1994,1,5.2,0.5
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,1999-2002,2,7.5,0.7
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2003-2006,3,8.8,0.9
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2007-2010,4,10.3,0.7
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2011-2014,5,9.4,0.7
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2015-2018,6,10.4,0.8
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,1988-1994,1,3.6,0.5
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,1999-2002,2,5.7,0.5
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2003-2006,3,6.7,0.6
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2007-2010,4,7.6,0.4
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2011-2014,5,6.5,0.6
Grade 2 obesity (BMI from 35.0 to 39.9),5,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2015-2018,6,10.2,1
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,1988-1994,1,4.7,0.8
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,1999-2002,2,7.8,0.9
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2003-2006,3,7,0.8
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2007-2010,4,7.5,0.4
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2011-2014,5,8.5,0.5
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,Below 100% FPL,9,"Percent of population, age adjusted",1,2015-2018,6,10.3,1
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,1988-1994,1,3.6,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,1999-2002,2,6.7,0.9
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2003-2006,3,6.3,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2007-2010,4,8.1,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2011-2014,5,9.8,1
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,100%-199% FPL,10,"Percent of population, age adjusted",1,2015-2018,6,10.5,0.9
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,1988-1994,1,3,0.4
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,1999-2002,2,4.8,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2003-2006,3,5.2,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2007-2010,4,6.3,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2011-2014,5,6.7,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,200%-399% FPL,11,"Percent of population, age adjusted",1,2015-2018,6,9.7,0.9
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,1988-1994,1,1.9,0.3
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,1999-2002,2,3.2,0.4
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2003-2006,3,4.2,0.6
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2007-2010,4,4.4,0.5
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2011-2014,5,5,0.8
Grade 3 obesity (BMI greater than or equal to 40.0),6,Socioeconomic Characteristic,3,Poverty level,3,400% or more FPL,12,"Percent of population, age adjusted",1,2015-2018,6,6.3,0.8
